iso,elapsed_ms,own_lag_ms,server_rtt_ms,daemon_rtt_ms
2026-08-10T07:47:53.717Z,102,1.6,,6.8
2026-08-10T07:47:53.816Z,202,1.0,,1.0
2026-08-10T07:47:53.916Z,302,0.9,,0.6
2026-08-10T07:47:54.016Z,402,4.0,,2.8
2026-08-10T07:47:54.117Z,502,1.1,,1.2
2026-08-10T07:47:54.217Z,602,1.9,,1.0
2026-08-10T07:47:54.317Z,702,1.0,,1.1
2026-08-10T07:47:54.417Z,802,1.7,,1.0
2026-08-10T07:47:54.517Z,903,1.0,,1.7
2026-08-10T07:47:54.617Z,1003,1.3,,1.2
2026-08-10T07:47:54.717Z,1103,2.0,,1.0
2026-08-10T07:47:54.817Z,1203,0.9,,0.9
2026-08-10T07:47:54.917Z,1303,1.4,,1.0
2026-08-10T07:47:55.017Z,1403,1.1,,1.0
2026-08-10T07:47:55.118Z,1503,2.0,,3.8
2026-08-10T07:47:55.218Z,1603,1.4,,1.9
2026-08-10T07:47:55.318Z,1703,1.7,,0.8
2026-08-10T07:47:55.418Z,1803,1.2,,1.0
2026-08-10T07:47:55.518Z,1904,1.8,,1.0
2026-08-10T07:47:55.618Z,2004,4.1,,3.6
2026-08-10T07:47:55.718Z,2104,1.1,,1.3
2026-08-10T07:47:55.818Z,2204,2.0,,1.9
2026-08-10T07:47:55.918Z,2304,2.1,,0.9
2026-08-10T07:47:56.018Z,2404,11.4,,1.4
2026-08-10T07:47:56.119Z,2504,5.2,,1.0
2026-08-10T07:47:56.219Z,2604,1.6,,0.9
2026-08-10T07:47:56.319Z,2705,1.4,,1.3
2026-08-10T07:47:56.419Z,2805,4.7,,5.0
2026-08-10T07:47:56.521Z,2907,6.0,,7.7
2026-08-10T07:47:56.622Z,3007,2.4,,0.9
2026-08-10T07:47:56.722Z,3107,2.7,,2.4
2026-08-10T07:47:56.822Z,3207,2.1,,1.0
2026-08-10T07:47:56.922Z,3307,2.4,,1.0
2026-08-10T07:47:57.022Z,3408,0.8,,2.4
2026-08-10T07:47:57.127Z,3512,8.7,,2.4
2026-08-10T07:47:57.227Z,3613,6.2,,9.8
2026-08-10T07:47:57.327Z,3713,1.0,,3.3
2026-08-10T07:47:57.427Z,3813,2.2,,1.4
2026-08-10T07:47:57.527Z,3913,9.5,,4.7
2026-08-10T07:47:57.627Z,4013,6.2,,0.7
2026-08-10T07:47:57.727Z,4113,3.7,,6.2
2026-08-10T07:47:57.829Z,4215,12.2,,2.9
2026-08-10T07:47:57.931Z,4316,4.5,,1.7
2026-08-10T07:47:58.031Z,4417,1.3,,0.9
2026-08-10T07:47:58.132Z,4518,3.0,,1.7
2026-08-10T07:47:58.232Z,4618,2.5,,6.2
2026-08-10T07:47:58.335Z,4720,5.8,,1.4
2026-08-10T07:47:58.436Z,4822,9.8,,1.9
2026-08-10T07:47:58.547Z,4933,8.1,,1.3
2026-08-10T07:47:58.649Z,5035,6.0,,1.5
2026-08-10T07:47:58.749Z,5135,11.9,,0.9
2026-08-10T07:47:58.850Z,5235,4.0,,0.9
2026-08-10T07:47:58.950Z,5335,2.1,,1.6
2026-08-10T07:47:59.050Z,5435,4.0,,1.6
2026-08-10T07:47:59.150Z,5535,3.2,,4.2
2026-08-10T07:47:59.250Z,5636,3.1,,1.0
2026-08-10T07:47:59.350Z,5736,1.6,,1.9
2026-08-10T07:47:59.450Z,5836,3.8,,3.1
2026-08-10T07:47:59.551Z,5936,3.0,,1.1
2026-08-10T07:47:59.651Z,6037,7.6,,4.0
2026-08-10T07:47:59.752Z,6137,2.7,,2.9
2026-08-10T07:47:59.852Z,6238,2.5,,1.7
2026-08-10T07:47:59.954Z,6339,6.8,,0.9
2026-08-10T07:48:00.054Z,6440,1.6,,1.0
2026-08-10T07:48:00.156Z,6541,2.0,,1.1
2026-08-10T07:48:00.257Z,6642,3.5,,5.7
2026-08-10T07:48:00.362Z,6748,6.3,,2.6
2026-08-10T07:48:00.463Z,6848,2.8,,0.9
2026-08-10T07:48:00.563Z,6949,2.1,,1.0
2026-08-10T07:48:00.663Z,7049,2.2,,1.1
2026-08-10T07:48:00.763Z,7149,9.2,,1.3
2026-08-10T07:48:00.863Z,7249,4.1,,2.6
2026-08-10T07:48:00.964Z,7350,5.8,,1.2
2026-08-10T07:48:01.065Z,7451,10.6,,2.7
2026-08-10T07:48:01.165Z,7551,5.3,,13.2
2026-08-10T07:48:01.266Z,7651,42.5,,13.2
2026-08-10T07:48:01.388Z,7774,23.4,,3.2
2026-08-10T07:48:01.488Z,7874,3.4,,1.2
2026-08-10T07:48:01.588Z,7974,3.1,,1.9
2026-08-10T07:48:01.689Z,8075,3.5,,2.2
2026-08-10T07:48:01.794Z,8180,9.7,,9.0
2026-08-10T07:48:01.894Z,8280,25.7,,9.0
2026-08-10T07:48:02.004Z,8390,29.8,,8.5
2026-08-10T07:48:02.105Z,8490,7.6,,1.6
2026-08-10T07:48:02.207Z,8592,1.4,,1.1
2026-08-10T07:48:02.308Z,8694,7.6,,3.7
2026-08-10T07:48:02.411Z,8797,1.2,,3.4
