iso,elapsed_ms,own_lag_ms,server_rtt_ms,daemon_rtt_ms
2026-07-31T17:21:20.806Z,104,13.3,,11.9
2026-07-31T17:21:20.920Z,218,5.2,,8.8
2026-07-31T17:21:21.030Z,327,10.8,,3.0
2026-07-31T17:21:21.192Z,489,30.0,,0.8
2026-07-31T17:21:21.292Z,590,56.2,,31.6
2026-07-31T17:21:21.393Z,690,2.8,,7.3
2026-07-31T17:21:21.493Z,790,6.6,,3.4
2026-07-31T17:21:21.596Z,893,1.9,,1.1
2026-07-31T17:21:21.719Z,1016,5.7,,11.7
2026-07-31T17:21:21.819Z,1116,31.9,,9.6
2026-07-31T17:21:21.920Z,1218,15.9,,3.6
2026-07-31T17:21:22.021Z,1319,10.1,,1.4
2026-07-31T17:21:22.121Z,1419,8.1,,1.1
2026-07-31T17:21:22.222Z,1519,7.3,,0.8
2026-07-31T17:21:22.325Z,1622,8.2,,0.9
2026-07-31T17:21:22.425Z,1723,11.0,,16.1
2026-07-31T17:21:22.538Z,1836,10.0,,1.1
2026-07-31T17:21:22.639Z,1936,23.2,,14.8
2026-07-31T17:21:22.741Z,2038,20.0,,1.2
2026-07-31T17:21:22.841Z,2138,18.9,,13.8
2026-07-31T17:21:22.941Z,2238,9.5,,1.8
2026-07-31T17:21:23.041Z,2338,2.8,,0.8
2026-07-31T17:21:23.141Z,2439,1.5,,0.8
2026-07-31T17:21:23.241Z,2539,4.7,,3.7
2026-07-31T17:21:23.342Z,2639,2.9,,1.3
2026-07-31T17:21:23.442Z,2740,5.4,,3.2
2026-07-31T17:21:23.543Z,2840,2.7,,2.4
2026-07-31T17:21:23.643Z,2941,2.0,,1.1
2026-07-31T17:21:23.743Z,3041,3.4,,4.3
2026-07-31T17:21:23.843Z,3141,6.7,,1.1
2026-07-31T17:21:23.943Z,3241,3.6,,2.4
2026-07-31T17:21:24.043Z,3341,6.0,,1.7
2026-07-31T17:21:24.143Z,3441,3.3,,1.0
2026-07-31T17:21:24.244Z,3541,4.8,,1.0
2026-07-31T17:21:24.346Z,3643,5.4,,8.6
2026-07-31T17:21:24.446Z,3743,11.2,,4.8
2026-07-31T17:21:24.546Z,3844,4.4,,1.6
2026-07-31T17:21:24.646Z,3944,2.0,,7.1
2026-07-31T17:21:24.746Z,4044,9.3,,2.3
2026-07-31T17:21:24.846Z,4144,9.9,,1.0
2026-07-31T17:21:24.946Z,4244,4.3,,1.7
2026-07-31T17:21:25.046Z,4344,2.8,,1.3
2026-07-31T17:21:25.150Z,4447,8.2,,1.3
2026-07-31T17:21:25.251Z,4548,7.5,,1.6
2026-07-31T17:21:25.351Z,4648,4.6,,2.0
2026-07-31T17:21:25.451Z,4748,5.2,,2.4
2026-07-31T17:21:25.551Z,4849,4.8,,1.4
2026-07-31T17:21:25.652Z,4949,2.0,,1.1
2026-07-31T17:21:25.752Z,5050,1.1,,0.9
2026-07-31T17:21:25.852Z,5150,5.7,,1.5
2026-07-31T17:21:25.952Z,5250,1.9,,2.9
2026-07-31T17:21:26.052Z,5350,5.6,,2.3
2026-07-31T17:21:26.152Z,5450,8.0,,2.1
2026-07-31T17:21:26.253Z,5550,4.0,,1.2
2026-07-31T17:21:26.354Z,5651,1.4,,1.0
2026-07-31T17:21:26.454Z,5751,1.8,,1.3
2026-07-31T17:21:26.554Z,5852,1.8,,1.2
2026-07-31T17:21:26.664Z,5974,6.1,,1.2
2026-07-31T17:21:26.765Z,6062,7.7,,0.7
2026-07-31T17:21:26.868Z,6166,3.3,,1.4
2026-07-31T17:21:26.978Z,6275,3.5,,1.4
2026-07-31T17:21:27.086Z,6384,12.0,,3.2
2026-07-31T17:21:27.187Z,6484,3.5,,0.9
2026-07-31T17:21:27.287Z,6585,3.8,,1.4
2026-07-31T17:21:27.388Z,6685,2.9,,1.3
2026-07-31T17:21:27.488Z,6785,11.6,,2.4
2026-07-31T17:21:27.591Z,6889,1.5,,6.6
2026-07-31T17:21:27.692Z,6989,2.6,,1.1
2026-07-31T17:21:27.792Z,7089,8.8,,0.7
2026-07-31T17:21:27.893Z,7191,7.6,,3.8
2026-07-31T17:21:27.994Z,7292,2.2,,1.2
2026-07-31T17:21:28.104Z,7402,3.8,,9.4
2026-07-31T17:21:28.206Z,7503,10.1,,4.7
2026-07-31T17:21:28.306Z,7603,3.7,,2.7
2026-07-31T17:21:28.410Z,7708,6.0,,1.2
2026-07-31T17:21:28.510Z,7808,13.1,,4.2
2026-07-31T17:21:28.611Z,7908,8.4,,1.3
2026-07-31T17:21:28.713Z,8010,1.0,,0.8
2026-07-31T17:21:28.813Z,8110,2.0,,5.6
2026-07-31T17:21:28.914Z,8212,10.3,,1.2
2026-07-31T17:21:29.014Z,8312,2.3,,5.7
2026-07-31T17:21:29.115Z,8413,3.1,,1.1
2026-07-31T17:21:29.215Z,8513,4.1,,2.5
2026-07-31T17:21:29.315Z,8613,5.1,,4.5
2026-07-31T17:21:29.415Z,8713,2.1,,4.1
2026-07-31T17:21:29.515Z,8813,13.5,,13.8
2026-07-31T17:21:29.618Z,8916,20.2,,3.8
2026-07-31T17:21:29.718Z,9016,6.0,,1.7
2026-07-31T17:21:29.818Z,9116,1.2,,0.9
2026-07-31T17:21:29.918Z,9216,4.6,,0.8
2026-07-31T17:21:30.019Z,9316,0.7,,1.7
2026-07-31T17:21:30.119Z,9416,12.8,,1.1
2026-07-31T17:21:30.219Z,9516,9.6,,1.3
2026-07-31T17:21:30.319Z,9616,5.5,,1.2
2026-07-31T17:21:30.419Z,9716,9.1,,26.3
2026-07-31T17:21:30.519Z,9817,8.5,,1.9
2026-07-31T17:21:30.626Z,9924,2.5,,23.0
2026-07-31T17:21:30.727Z,10024,8.9,,4.3
2026-07-31T17:21:30.829Z,10126,11.1,,27.1
2026-07-31T17:21:30.930Z,10227,23.2,,15.2
2026-07-31T17:21:31.033Z,10331,6.2,,2.3
2026-07-31T17:21:31.133Z,10431,6.0,,9.1
2026-07-31T17:21:31.246Z,10543,11.5,,3.3
2026-07-31T17:21:31.346Z,10644,7.3,,2.7
2026-07-31T17:21:31.450Z,10748,7.0,,32.8
2026-07-31T17:21:31.559Z,10857,9.2,,1.1
2026-07-31T17:21:31.660Z,10958,8.4,,7.7
2026-07-31T17:21:31.760Z,11058,8.1,,2.6
2026-07-31T17:21:31.860Z,11158,1.9,,1.1
2026-07-31T17:21:31.962Z,11260,3.3,,13.6
2026-07-31T17:21:32.079Z,11376,7.1,,29.2
2026-07-31T17:21:32.179Z,11476,20.3,,1.4
2026-07-31T17:21:32.279Z,11577,7.5,,4.4
2026-07-31T17:21:32.379Z,11677,7.6,,4.0
2026-07-31T17:21:32.479Z,11777,1.7,,10.4
2026-07-31T17:21:32.584Z,11881,3.4,,0.8
2026-07-31T17:21:32.714Z,12027,5.2,,2.9
2026-07-31T17:21:32.814Z,12112,46.7,,3.3
2026-07-31T17:21:32.914Z,12212,6.3,,0.8
2026-07-31T17:21:33.014Z,12312,5.0,,1.5
2026-07-31T17:21:33.115Z,12413,2.3,,0.9
2026-07-31T17:21:33.215Z,12513,0.8,,4.1
2026-07-31T17:21:33.316Z,12613,2.6,,1.0
2026-07-31T17:21:33.416Z,12713,2.0,,0.9
2026-07-31T17:21:33.516Z,12813,6.1,,1.0
2026-07-31T17:21:33.616Z,12914,4.1,,1.0
2026-07-31T17:21:33.716Z,13014,6.2,,1.8
2026-07-31T17:21:33.816Z,13114,3.2,,0.8
2026-07-31T17:21:33.916Z,13214,2.9,,1.1
