# timestamp	issue	pin	driver	cell	verdict	control	reading
2026-08-30T01:26:07.242Z	POD-3112	d35c7ef7b630730f727365f25323427c67614386	default-headed	A1A	PASS	FIRED	docs/evidence/pod-3112/readings/default-headed.a1a.json
2026-08-30T01:26:46.591Z	POD-3112	d35c7ef7b630730f727365f25323427c67614386	opencode-server	A1A	PASS	FIRED	docs/evidence/pod-3112/readings/opencode-server.a1a.json
2026-08-30T01:37:04.477Z	POD-3112	d35c7ef7b630730f727365f25323427c67614386	default-headed	A1B	FAIL	FIRED	docs/evidence/pod-3112/readings/default-headed.a1b.json
2026-08-30T02:01:52.455Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	default-headed	A1B	PASS	FIRED	docs/evidence/pod-3112/readings/default-headed.a1b.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T020122950Z.json
2026-08-30T02:02:32.386Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	opencode-server	A1B	PASS	FIRED	docs/evidence/pod-3112/readings/opencode-server.a1b.json
2026-08-30T02:11:26.630Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	default-headed	A2A	INVALID	DISCARDED	docs/evidence/pod-3112/readings/default-headed.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T021058983Z.json
2026-08-30T02:17:19.507Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	default-headed	A2A	REFUSED	MISSING	docs/evidence/pod-3112/readings/default-headed.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T021706403Z.json
2026-08-30T02:20:27.131Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	default-headed	A2A	PARTIAL	FIRED	docs/evidence/pod-3112/readings/default-headed.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T022010879Z.json
2026-08-30T02:38:40.990Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	default-headed	A2A	PASS	FIRED	docs/evidence/pod-3112/readings/default-headed.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T023825527Z.json
2026-08-30T02:42:07.829Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	opencode-server	A2A	PASS	FIRED	docs/evidence/pod-3112/readings/opencode-server.a2a.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024157265Z.json
2026-08-30T02:43:53.838Z	POD-3112	2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd	default-headed	A3	FAIL	FIRED	docs/evidence/pod-3112/readings/default-headed.a3.2af0b8f7448d6b1ce4ad7a12af2c8226c54e18cd-20260830T024321319Z.json
2026-08-30T07:56:04.182Z	POD-3112	bc0263ccf49d499f60988c297c60554b4217a6b6	opencode-server	A3	PASS	FIRED	docs/evidence/pod-3112/readings/opencode-server.r17-ui.20260830T075539635Z.json
2026-08-30T16:06:29.140Z	POD-3112	b80b8408de006ccc329ddb2b6dcf667f3e4fa40d	opencode-server	A7A	PASS	FIRED	docs/evidence/pod-3112/readings/opencode-server.r18-b80b840-a7a-pass.20260830T160629140Z.json
