# Generated by `bun run inventory:ids --tsv` (POD-360). One row per site, each with its
# PER-SITE OWNER. Consequence classes (object-literal-field, comparison) are reproducible
# from the script and not snapshotted — the flip enumerates them via type errors.
# Control characters are ESCAPED, so this file never goes binary.
file	line	kind	owner	name	ownerReason	text
apps/cli/src/agent-cli.ts	116	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string
apps/cli/src/agent-cli.ts	117	ts-property	A-schema-flip	issueId	type member; gains the brand with its schema	issueId: string
apps/cli/src/agent-cli.ts	120	ts-property	A-schema-flip	agentId	type member; gains the brand with its schema	agentId: string
apps/cli/src/agent-cli.ts	147	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/cli/src/approval-cli.ts	106	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/cli-lifecycle.ts	32	ts-property	A-schema-flip	instanceId	type member; gains the brand with its schema	instanceId?: string
apps/cli/src/cli-systemd.ts	63	ts-property	A-schema-flip	instanceId	type member; gains the brand with its schema	instanceId?: string
apps/cli/src/cli-systemd.ts	98	ts-property	A-schema-flip	instanceId	type member; gains the brand with its schema	instanceId?: string
apps/cli/src/cli.ts	137	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/cli.ts	684	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/cli/src/cli.ts	736	ts-property	A-schema-flip	machineId	type member; gains the brand with its schema	machineId?: string
apps/cli/src/issue-cli.test.ts	119	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/mail-cli.ts	111	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/mail-cli.ts	121	ts-property	A-schema-flip	threadId	type member; gains the brand with its schema	threadId: string
apps/cli/src/mail-cli.ts	255	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/mail-cli.ts	326	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/cli/src/session-cli.ts	39	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string
apps/cli/src/session-cli.ts	58	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string
apps/cli/src/session-cli.ts	68	ts-property	A-schema-flip	questionId	type member; gains the brand with its schema	questionId: string
apps/cli/src/session-cli.ts	70	ts-property	A-schema-flip	ackId	type member; gains the brand with its schema	ackId?: string
apps/cli/src/session-cli.ts	73	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string;
apps/cli/src/session-cli.ts	73	ts-property	A-schema-flip	issueId	type member; gains the brand with its schema	issueId?: string
apps/cli/src/spec-cli.test.ts	29	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/spec-cli.test.ts	47	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/cli/src/workflow-cli.test.ts	42	object-literal-field	E-attribution	coordinatorSessionId	names who acted; gains an on-behalf-of UserId in POD-1075	coordinatorSessionId: 'session-1'
apps/daemon/src/agent-relay.test.ts	51	ts-property	C-stringly-on-purpose	requestId	correlation/transport handle, not a durable entity identity	requestId: string
apps/daemon/src/agent-relay.test.ts	52	ts-property	C-stringly-on-purpose	requestId	correlation/transport handle, not a durable entity identity	requestId: string
apps/daemon/src/agent-relay.test.ts	149	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string;
apps/daemon/src/agent-relay.ts	13	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string
apps/daemon/src/agent-relay.ts	28	ts-property	C-stringly-on-purpose	requestId	correlation/transport handle, not a durable entity identity	requestId: string;
apps/daemon/src/agent-relay.ts	48	composite-key	C-stringly-on-purpose	router+proc	composite key over non-entity values (paths/display/cursors) — not a branded id	`${req.router}.${req.proc}`
apps/daemon/src/browser-open.ts	17	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string
apps/daemon/src/browser-open.ts	18	ts-property	C-stringly-on-purpose	requestId	correlation/transport handle, not a durable entity identity	requestId: string
apps/daemon/src/browser-open.ts	138	composite-key	B-helper-adoption	sessionId+requestId	ad-hoc composite key; adopts a typed key helper	`${sessionId}:${requestId}`
apps/daemon/src/codex-identity-receipts.test.ts	80	ts-property	A-schema-flip	session_id	type member; gains the brand with its schema	session_id: string
apps/daemon/src/codex-identity-receipts.test.ts	83	ts-property	A-schema-flip	session_id	type member; gains the brand with its schema	session_id: string
apps/daemon/src/codex-identity-receipts.ts	11	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string
apps/daemon/src/codex-identity-receipts.ts	12	ts-property	A-schema-flip	nativeId	type member; gains the brand with its schema	nativeId: string
apps/daemon/src/composer-sync.test.ts	29	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string;
apps/daemon/src/composer-sync.test.ts	450	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string;
apps/daemon/src/control/context.ts	30	ts-property	A-schema-flip	machineId	type member; gains the brand with its schema	machineId: string
apps/daemon/src/control/context.ts	32	ts-property	A-schema-flip	instanceId	type member; gains the brand with its schema	instanceId: string
apps/daemon/src/daemon.test.ts	79	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/daemon/src/daemon.test.ts	114	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/daemon/src/daemon.test.ts	146	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string
apps/daemon/src/daemon.test.ts	172	ts-property	A-schema-flip	sessionId	type member; gains the brand with its schema	sessionId: string;
apps/daemon/src/daemon.ts	165	ts-property	A-schema-flip	machineId	type member; gains the brand with its schema	machineId?: string
apps/daemon/src/discovery-worker.ts	13	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/daemon/src/discovery-worker.ts	14	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/daemon/src/discovery-worker.ts	16	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/daemon/src/discovery-worker.ts	17	ts-property	A-schema-flip	id	type member; gains the brand with its schema	id: string;
apps/daemon/src/durable-headless.ts	35	ts-property	A-schema-flip	harnessSessionId	type member; gains the brand with its schema	harnessSessionId?: string
