ts,server_pid,server_rss_mb,server_cpu_pct,daemon_pid,daemon_rss_mb,daemon_cpu_pct,attach_clients
2026-06-21T13:23:34+02:00,1011858,135.2,12.2,1011844,240.3,12.9,42
2026-06-21T13:23:54+02:00,1011858,161.5,11.1,1011844,314.8,13.4,42
2026-06-21T13:24:14+02:00,1011858,207.6,16.7,1011844,325.6,16.4,42
2026-06-21T13:24:35+02:00,1011858,212.6,10.6,1011844,324.6,11.7,42
2026-06-21T13:24:55+02:00,1011858,163.9,14.3,1011844,316.4,16.6,42
2026-06-21T13:25:15+02:00,1011858,179.3,13.9,1011844,323.0,14.6,42
2026-06-21T13:25:36+02:00,1011858,210.2,12.6,1011844,330.7,13.4,42
2026-06-21T13:25:56+02:00,1011858,162.4,11.6,1011844,238.7,12.1,42
2026-06-21T13:26:16+02:00,1011858,138.3,13.8,1011844,322.1,15.2,42
2026-06-21T13:26:37+02:00,1011858,178.9,13.2,1011844,349.4,15.5,42
2026-06-21T13:26:57+02:00,1011858,214.6,13.9,1011844,350.0,13.0,42
2026-06-21T13:27:17+02:00,1011858,214.6,13.3,1011844,326.1,15.5,42
2026-06-21T13:27:37+02:00,1011858,140.2,7.9,1011844,317.0,11.1,42
2026-06-21T13:27:58+02:00,1011858,210.1,14.0,1011844,325.9,16.2,42
2026-06-21T13:28:18+02:00,1011858,205.6,12.8,1011844,333.6,13.2,43
2026-06-21T13:28:38+02:00,1011858,139.6,12.9,1011844,324.1,13.0,43
2026-06-21T13:28:59+02:00,1011858,138.2,13.1,1011844,242.3,13.2,43
2026-06-21T13:29:19+02:00,1011858,236.9,14.0,1011844,315.0,15.8,44
2026-06-21T13:29:39+02:00,1011858,162.0,12.5,1011844,317.0,15.0,44
2026-06-21T13:30:00+02:00,1011858,137.5,12.7,1011844,241.0,14.3,44
2026-06-21T13:30:20+02:00,1011858,140.3,13.2,1011844,317.2,14.5,44
2026-06-21T13:30:40+02:00,1011858,211.4,14.7,1011844,316.2,16.6,44
2026-06-21T13:31:01+02:00,1011858,214.3,13.2,1011844,336.4,14.0,44
2026-06-21T13:31:21+02:00,1011858,201.7,12.5,1011844,319.4,15.1,44
2026-06-21T13:31:41+02:00,1011858,176.9,10.8,1011844,341.4,12.1,44
2026-06-21T13:32:02+02:00,1011858,175.2,12.2,1011844,353.0,16.0,44
2026-06-21T13:32:22+02:00,1011858,223.6,10.8,1011844,349.2,13.1,44
2026-06-21T13:32:43+02:00,1011858,175.2,13.1,1011844,318.0,14.7,44
2026-06-21T13:33:03+02:00,1011858,174.8,12.8,1011844,328.5,14.3,44
2026-06-21T13:33:23+02:00,1011858,220.2,14.9,1011844,343.7,17.4,44
